,Unnamed: 0,C_LZ,C_bzip,C_gzip,LZ,LZ_rev,bzip,bzip_rev,conservativity,gzip,gzip_rev,max_model_size,monotonicity,num_chars,order_num,order_type,quantifier,quantity,uniformity
1173,1173,331.4705759248233,95.0,209.5,18,18,95,95,False,210,209,9,up,4,1,lex,not_only,True,0.9155336972568408
1174,1174,1878.333263573999,344.0,527.5,109,95,348,340,True,546,509,9,up,4,1,lex,most,True,0.5946944988040879
1175,1175,1878.333263573999,344.0,527.5,109,95,348,340,False,546,509,9,up,4,1,lex,M,True,0.5946944988040879
1176,1176,690.563699843382,158.5,351.5,47,28,162,155,True,364,339,9,up,4,2,lex,at_least_4,True,0.8505682013252309
1177,1177,589.2810238663526,130.0,308.0,40,24,135,125,True,316,300,9,up,4,2,lex,at_least_6,True,0.9916457811194652
1178,1178,893.1290517974406,202.0,380.0,61,36,222,182,True,403,357,9,non,4,2,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1179,1179,552.4509598747055,108.5,315.0,34,26,91,126,True,318,312,9,non,4,2,lex,even,True,0.5014619883040936
1180,1180,690.563699843382,156.0,353.0,47,28,163,149,True,364,342,9,down,4,2,lex,at_most_3,True,0.8505682013252309
1181,1181,662.9411518496466,147.0,347.5,45,27,157,137,True,358,337,9,up,4,2,lex,at_least_3,True,0.6264863070919308
1182,1182,966.7891797807347,206.5,332.5,57,48,219,194,True,339,326,9,up,4,2,lex,first_3,False,0.8889146381936577
1183,1183,883.9215357995288,194.0,396.5,54,42,202,186,True,403,390,9,up,4,2,lex,last_3,False,0.8889146381936577
1184,1184,469.5833158934997,120.5,259.0,20,31,130,111,True,257,261,9,down,4,2,lex,not_all,True,0.9155336972568408
1185,1185,506.4133798851468,116.0,259.0,27,28,121,111,False,262,256,9,up,4,2,lex,not_only,True,0.9155336972568408
1186,1186,1657.352879624117,312.5,496.5,94,86,330,295,True,507,486,9,up,4,2,lex,most,True,0.5946944988040879
1187,1187,1657.352879624117,312.5,496.5,94,86,330,295,False,507,486,9,up,4,2,lex,M,True,0.5946944988040879
1188,1188,690.563699843382,158.5,351.5,47,28,162,155,True,364,339,9,up,4,3,lex,at_least_4,True,0.8505682013252309
1189,1189,589.2810238663526,130.0,308.0,40,24,135,125,True,316,300,9,up,4,3,lex,at_least_6,True,0.9916457811194652
1190,1190,893.1290517974406,202.0,380.0,61,36,222,182,True,403,357,9,non,4,3,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1191,1191,552.4509598747055,108.5,315.0,34,26,91,126,True,318,312,9,non,4,3,lex,even,True,0.5014619883040936
1192,1192,690.563699843382,156.0,353.0,47,28,163,149,True,364,342,9,down,4,3,lex,at_most_3,True,0.8505682013252309
1193,1193,662.9411518496466,147.0,347.5,45,27,157,137,True,358,337,9,up,4,3,lex,at_least_3,True,0.6264863070919308
1194,1194,874.7140198016173,183.5,297.0,53,42,190,177,True,301,293,9,up,4,3,lex,first_3,False,0.8889146381936577
1195,1195,847.0914718078818,144.0,362.5,50,42,145,143,True,369,356,9,up,4,3,lex,last_3,False,0.8889146381936577
1196,1196,331.4705759248233,95.0,209.5,18,18,95,95,True,210,209,9,down,4,3,lex,not_all,True,0.9155336972568408
1197,1197,506.4133798851468,116.0,259.0,27,28,121,111,False,262,256,9,up,4,3,lex,not_only,True,0.9155336972568408
1198,1198,1417.957463678411,229.5,463.5,83,71,236,223,True,489,438,9,up,4,3,lex,most,True,0.5946944988040879
1199,1199,1417.957463678411,229.5,463.5,83,71,236,223,False,489,438,9,up,4,3,lex,M,True,0.5946944988040879
1200,1200,690.563699843382,158.5,351.5,47,28,162,155,True,364,339,9,up,4,4,lex,at_least_4,True,0.8505682013252309
1201,1201,589.2810238663526,130.0,308.0,40,24,135,125,True,316,300,9,up,4,4,lex,at_least_6,True,0.9916457811194652
1202,1202,893.1290517974406,202.0,380.0,61,36,222,182,True,403,357,9,non,4,4,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1203,1203,552.4509598747055,108.5,315.0,34,26,91,126,True,318,312,9,non,4,4,lex,even,True,0.5014619883040936
1204,1204,690.563699843382,156.0,353.0,47,28,163,149,True,364,342,9,down,4,4,lex,at_most_3,True,0.8505682013252309
1205,1205,662.9411518496466,147.0,347.5,45,27,157,137,True,358,337,9,up,4,4,lex,at_least_3,True,0.6264863070919308
1206,1206,966.7891797807347,206.5,332.5,57,48,219,194,True,339,326,9,up,4,4,lex,first_3,False,0.8889146381936577
1207,1207,883.9215357995288,194.0,396.5,54,42,202,186,True,403,390,9,up,4,4,lex,last_3,False,0.8889146381936577
1208,1208,469.5833158934997,120.5,259.0,20,31,130,111,True,257,261,9,down,4,4,lex,not_all,True,0.9155336972568408
1209,1209,331.4705759248233,95.0,209.5,18,18,95,95,False,210,209,9,up,4,4,lex,not_only,True,0.9155336972568408
1210,1210,1657.352879624117,312.5,496.5,94,86,330,295,True,507,486,9,up,4,4,lex,most,True,0.5946944988040879
1211,1211,1657.352879624117,312.5,496.5,94,86,330,295,False,507,486,9,up,4,4,lex,M,True,0.5946944988040879
1212,1212,690.563699843382,158.5,351.5,47,28,162,155,True,364,339,9,up,4,5,lex,at_least_4,True,0.8505682013252309
1213,1213,589.2810238663526,130.0,308.0,40,24,135,125,True,316,300,9,up,4,5,lex,at_least_6,True,0.9916457811194652
1214,1214,893.1290517974406,202.0,380.0,61,36,222,182,True,403,357,9,non,4,5,lex,at_least_6_or_at_most_2,True,0.6348405259724654
1215,1215,552.4509598747055,108.5,315.0,34,26,91,126,True,318,312,9,non,4,5,lex,even,True,0.5014619883040936
1216,1216,690.563699843382,156.0,353.0,47,28,163,149,True,364,342,9,down,4,5,lex,at_most_3,True,0.8505682013252309
1217,1217,662.9411518496466,147.0,347.5,45,27,157,137,True,358,337,9,up,4,5,lex,at_least_3,True,0.6264863070919308
1218,1218,874.7140198016173,183.5,297.0,53,42,190,177,True,301,293,9,up,4,5,lex,first_3,False,0.8889146381936577
